"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2020","123.100","124.500","126.100","122.700","54.95K","-1.12%"
"08/25/2020","124.500","125.600","128.100","122.700","80.25K","-0.88%"
"08/24/2020","125.600","122.500","126.200","119.700","103.65K","1.13%"
"08/21/2020","124.200","126.400","127.800","123.400","94.58K","-1.74%"
"08/20/2020","126.400","130.600","130.700","125.800","109.55K","-2.99%"
"08/19/2020","130.300","131.700","134.200","129.600","85.95K","-1.14%"
"08/18/2020","131.800","132.800","134.500","130.000","107.91K","-1.57%"
"08/17/2020","133.900","142.000","142.500","132.900","129.83K","-4.83%"
"08/14/2020","140.700","134.300","144.100","132.100","199.42K","4.22%"
"08/13/2020","135.000","130.000","136.800","127.500","154.10K","3.45%"
"08/12/2020","130.500","133.700","134.400","129.200","142.85K","-2.25%"
"08/11/2020","133.500","136.300","137.500","132.800","169.67K","-2.05%"
"08/10/2020","136.300","139.300","140.200","133.800","174.89K","-0.15%"
"08/07/2020","136.500","136.800","137.900","133.800","81.66K","-0.22%"
"08/06/2020","136.800","140.000","141.200","135.300","99.19K","-3.53%"
"08/05/2020","141.800","142.900","143.300","138.600","99.54K","-0.35%"
"08/04/2020","142.300","137.800","144.100","136.900","122.88K","4.25%"
"07/31/2020","136.500","140.500","144.800","135.700","106.40K","-3.53%"
"07/30/2020","141.500","142.500","144.800","140.100","79.87K","-0.49%"
"07/29/2020","142.200","152.100","152.400","140.500","157.91K","-8.85%"
"07/28/2020","156.000","142.600","159.000","142.600","240.74K","10.25%"
"07/27/2020","141.500","140.000","143.800","137.400","88.04K","1.07%"
"07/24/2020","140.000","143.700","144.200","136.500","102.05K","-3.45%"
"07/23/2020","145.000","149.000","149.000","144.000","93.62K","-2.88%"
"07/22/2020","149.300","156.700","156.700","146.900","139.30K","-4.54%"
"07/21/2020","156.400","156.500","159.800","153.900","101.57K","0.00%"
"07/20/2020","156.400","161.100","162.000","155.900","84.84K","-3.22%"
"07/17/2020","161.600","165.200","166.800","160.000","126.02K","-1.46%"
"07/16/2020","164.000","171.100","172.000","162.700","148.31K","-5.26%"
"07/15/2020","173.100","160.900","174.100","160.900","198.52K","7.65%"
"07/14/2020","160.800","163.700","163.800","155.600","141.92K","-2.25%"
"07/13/2020","164.500","164.000","171.600","161.500","140.68K","0.73%"
"07/10/2020","163.300","159.600","163.300","157.000","68.36K","1.81%"
"07/09/2020","160.400","163.000","164.000","154.600","91.13K","-2.49%"
"07/08/2020","164.500","168.300","169.300","162.100","72.20K","-2.32%"
"07/07/2020","168.400","164.000","171.800","162.300","88.61K","2.43%"
"07/06/2020","164.400","166.500","169.900","162.300","99.30K","-0.06%"
"07/03/2020","164.500","164.400","166.300","163.000","22.00K","-0.48%"
"07/02/2020","165.300","168.300","170.000","162.600","96.65K","-1.55%"
"06/30/2020","167.900","167.400","169.300","162.000","110.66K","-1.35%"
"06/29/2020","170.200","170.500","173.400","162.700","112.19K","-0.41%"
"06/26/2020","170.900","179.500","179.700","168.300","106.50K","-4.84%"
"06/25/2020","179.600","188.000","190.400","176.600","160.52K","-3.70%"
